Scouter,Event,Match-Level,Match-Number,Robot,Team-Number,Auton-Position,Auton-Leave-Start,Auton-Coral-L4,Auton-Coral-L3,Auton-Coral-L2,Auton-Coral-L1,Algae-Removed- from-Reef,Auton-Algae-Processor,Auton-Algae-Net,Teleop-Coral-L4,Teleop-Coral-L3,Teleop-Coral-L2,Teleop-Coral-L1,TeleOp-Removed- from-Reef,Teleop-Algae-Processor,Teleop-Algae-Net,Defense-Played-on-Robot,Ground-Pick-Up,Climb-Status,No-Climb-Reason,Driver-Skill,Defense-Rating,Died-YN,Tipped-YN,Comments
DY,2025mitry,qm,13,b3,33,p,1,2,0,0,0,0,0,0,3,4,6,1,2,2,0,0,n,s,x,e,n,n,0,"Very good team, sometimes missed coral in ground"
"Ag,Kk",2025mitry,qm,5,b3,33,p,1,2,0,0,0,0,0,0,4,3,5,1,3,3,0,0,n,p,b,e,n,n,0, 
KP,2025mitry,qm,19,b2,33,p,1,2,0,0,0,0,0,0,2,5,3,0,3,0,1,1,n,d,x,e,n,p,0,Bravo
Sp,2025mitry,qm,23,b1,33,p,1,3,0,0,0,0,0,0,6,6,5,0,3,0,2,0,n,d,x,e,n,n,0, 
DSRD,2025mitry,qm,30,r3,33,p,1,1,0,0,0,0,0,0,5,4,4,0,0,0,3,0,n,d,x,e,e,n,0,The robot was excellent 
KP,2025mitry,qm,38,r2,33,p,1,1,0,0,0,0,0,0,7,0,0,1,4,0,4,1,n,d,x,e,i,n,0, 
KB,2025mitry,qm,44,r1,33,p,1,2,0,0,0,0,0,0,5,4,5,0,3,0,3,0,n,s,x,e,n,n,0,It did great.
Vh,2025mitry,qm,55,r2,33,p,1,2,0,0,0,0,0,0,2,0,5,0,0,0,7,0,n,d,x,e,n,n,0,Scored all algae
Hc,2025mitry,qm,60,b1,33,p,1,3,0,0,0,0,0,0,2,4,3,1,3,0,3,0,n,d,x,e,n,n,0, 
SM,2025mitry,qm,1,b2,201,o,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,f,d,x,e,n,n,n,,The robot had parts where it didn't have any scoring.
SM DH,2025mitry,qm,8,b2,201,o,1,1,0,0,0,0,0,0,0,0,0,3,0,2,0,n,n,b,a,n,stu,,,
DY,2025mitry,qm,15,b3,201,o,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,n,s,x,x,n,n,0,It broke in auton but still did good
AM,2025mitry,qm,21,b2,201,p,1,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,s,p,t,a,n,n,0,I couldn't see their starting position cause app issues
VR,2025mitry,qm,30,b2,201,o,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,n,n,b,a,n,p,0,Was pinned most of the game by 4362
TV,2025mitry,qm,36,b1,201,o,1,2,0,0,0,0,0,0,3,3,0,0,2,0,1,0,n,p,b,a,n,n,1, 
KB,2025mitry,qm,47,r1,201,o,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,n,n,t,a,n,n,0,Mainly aimed for L4.
DSRD,2025mitry,qm,53,r3,201,o,1,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,n,p,t,e,n,n,0, 
"AG,Kk",2025mitry,qm,14,r2,226,p,1,0,0,0,0,0,0,0,9,1,0,0,1,0,0,1,n,p,t,e,n,n,0,Defense played on us was really good
"Ag,Kk",2025mitry,qm,4,b3,226,o,1,1,0,0,0,0,0,0,9,0,0,1,0,0,0,0,n,d,x,e,n,n,0,Auton missed a couple
"AG,Kk",2025mitry,qm,18,r2,226,p,1,1,0,0,0,0,0,0,7,0,0,0,1,0,0,0,n,d,x,e,n,n,0, 
DR,2025mitry,qm,27,b3,226,p,1,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,f,d,x,e,n,n,0, 
AK,2025mitry,qm,31,r2,226,p,1,1,0,0,0,0,0,0,2,4,2,0,2,0,0,0,n,d,x,a,n,n,0, 
Ag,2025mitry,qm,38,b3,226,p,1,3,0,0,0,0,0,0,4,2,0,0,1,0,0,1,n,d,x,e,n,n,0, 
SP,2025mitry,qm,42,b2,226,p,1,2,0,0,0,1,0,0,4,3,1,0,0,0,0,1,n,d,x,e,n,n,0, 
SA,2025mitry,qm,53,b3,226,o,1,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,n,d,x,e,n,n,0, 
RJ TV,2025mitry,qm,8,r1,469,o,1,2,0,0,0,0,0,0,3,0,0,2,0,0,0,n,p,s,a,n,n,n,, 
KB,2025mitry,qm,17,b1,469,o,1,1,0,0,1,0,0,0,4,3,0,1,1,1,0,0,n,p,t,e,n,n,0,They had some issues later on but werent bad.
AA,2025mitry,qm,25,r2,469,p,1,1,0,0,0,0,0,0,4,2,2,0,4,2,0,0,n,p,t,a,n,n,0, 
TV,2025mitry,qm,32,b1,469,p,1,1,0,0,0,0,0,0,4,2,3,0,4,2,0,0,f,n,s,a,n,n,0, 
SM,2025mitry,qm,38,b2,469,o,1,2,0,0,0,0,0,0,4,1,1,0,0,0,0,0,n,p,s,x,n,n,0,Good auton and average teleop 
KB,2025mitry,qm,46,r1,469,o,1,2,0,0,0,0,0,0,6,6,0,0,2,0,1,0,n,n,s,e,n,n,0,It was a good team.
DSRD,2025mitry,qm,57,r3,469,p,1,2,0,0,0,0,0,0,2,4,0,0,2,0,5,1,f,p,t,e,e,n,0, 
SS AT,2025mitry,qm,6,b1,573,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,d,x,a,n,n,n,,Consistent L4
KB,2025mitry,qm,12,b1,573,o,1,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,n,d,x,a,n,n,,They went only for L4. A little unstable.
Sp,2025mitry,qm,21,b1,573,p,1,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,n,p,b,a,n,n,0,Really good but failed their deep climb
DSRD,2025mitry,qm,27,r3,573,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,b,i,n,e,0,Robot didn't move in the entire match except crashing.
CG,2025mitry,qm,32,r3,573,c,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,n,p,b,a,n,n,0,Their scoring mechanisms had problems in the later half
SM,2025mitry,qm,37,b2,573,c,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,s,n,b,x,n,n,1,The robot only scored on L 2 and trough
MK,2025mitry,qm,43,r2,573,p,1,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,n,p,t,e,n,n,0,Very good with coral
SP,2025mitry,qm,49,b2,573,o,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,n,d,x,a,n,n,0,Mostly L4 bot
Hc,2025mitry,qm,60,b2,573,o,1,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,n,s,x,a,n,n,0,They are good
SM DH,2025mitry,qm,5,b2,818,o,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,n,s,i,n,,,,"Moved around aimlessly for long time, park 1 min remain"
Zi,2025mitry,qm,12,r3,818,c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,b,i,i,e,,They moved right at the begenjng and didn't move after
KB,2025mitry,qm,16,b1,818,c,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,f,p,b,x,n,p,0,Parts broke off robot. Didn't move much.
MK,2025mitry,qm,25,r3,818,o,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,n,n,x,a,n,n,0, 
VR,2025mitry,qm,29,b2,818,o,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,p,b,i,n,p,0,They weren't moving for a good portion of the match
SM,2025mitry,qm,36,b2,818,p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,b,x,n,n,0,The robots intake was broken 
SS,2025mitry,qm,48,r3,818,p,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,f,n,s,a,n,n,0,Smooth driving and scoring
SD,2025mitry,qm,54,r1,818,p,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,f,n,t,a,n,n,0,"After teleop started, ground intake was very wobbly"
SM DH,2025mitry,qm,10,b2,1498,o,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,f,d,x,a,n,n,n,,Column 31
